Designator,Mid X,Mid Y,Rotation,Layer
D1,164.81,-79.0,0.0,top
D10,102.000001,-58.897158,0.0,top
D11,103.000001,-108.897158,0.0,top
D12,192.000001,-58.897158,0.0,top
D16,192.000001,-109.897158,0.0,top
D2,164.81,-83.0,0.0,top
D3,164.81,-88.0,0.0,top
D4,176.0,-79.0,0.0,top
D5,176.0,-83.0,0.0,top
D6,176.0,-88.0,0.0,top
D7,186.81,-79.0,0.0,top
D8,186.81,-83.0,0.0,top
D9,186.81,-88.0,0.0,top
J1,136.354,-63.27,0.0,top
SW1,107.73,-80.45,0.0,top
SW10,155.0,-64.0,0.0,top
SW2,127.81,-80.45,0.0,top
SW3,148.62,-80.45,0.0,top
SW4,107.46,-100.99,0.0,top
SW5,128.0,-100.91,0.0,top
SW6,148.46,-100.99,0.0,top
SW7,168.08,-100.91,0.0,top
SW8,187.46,-100.91,0.0,top
U2,178.0,-66.0,0.0,bottom
